Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
2033049,N/A,Unknown Product,J614,UN,18.0,18.0,1210.0,21780.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J989,UN,4.0,4.0,5445.0,21778.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J624,UN,4.0,4.0,5445.0,21778.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J514,UN,4.0,4.0,5445.0,21778.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J519,UN,4.0,4.0,5445.0,21778.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J760,UN,4.0,4.0,5445.0,21778.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2048116,N/A,Unknown Product,J532,UN,4.0,4.0,5444.0,21777.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1756602,N/A,Unknown Product,J503,UN,2.0,2.0,10888.0,21776.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1829903,158977,Vela pilar taupe 9 cm,J506,UN,22.0,22.0,990.0,21775.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042698,N/A,Unknown Product,J660,UN,19.0,19.0,1146.0,21773.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042698,N/A,Unknown Product,J796,UN,19.0,19.0,1146.0,21773.0,NO PUBLICAR,JERARQUIA DESHABILITADA
300121,18144,Filtro de Agua Brita 1 un.,J521,UN,5.0,5.0,4354.0,21772.0,NO PUBLICAR,REGLA DDS
1124659,N/A,Unknown Product,J614,UN,77.0,77.0,283.0,21772.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2044954,N/A,Unknown Product,J695,UN,36.0,36.0,605.0,21771.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042648,N/A,Unknown Product,J762,UN,12.0,12.0,1814.0,21767.0,NO PUBLICAR,JERARQUIA DESHABILITADA
